ID,Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Energy Resource Consumption,Train Products,Train Duration,Car CO2,Car Energy Resource Consumption,Car Products,Car Duration,Flight CO2,Flight Energy Resource Consumption,Flight Products,Flight Duration,Departure Country,Arrival Country,Departure Region,Arrival Region,train_flight_duration_delta,train_market_share,flight_market_share,avg_co2,avg_erc,avg_co2_w,avg_erc_w,distance
Vienna to Torino,Vienna,Torino,"{16.34167, 48.206947}","{45.060282, 7.677498}",32.5,22.5,"RJX  368, 5210, RE 17149, RV  3841, FR  9729, FR  9532",11.233333333333333,97.7,43.4,Car,8.533333333333333,137.6,58.2,"Car, Aircraft, Car",4.633333333333334,Austria,Italy,Western Europe,Southern Europe,6.599999999999999,0.0,1.0,89.26666666666665,41.36666666666667,137.6,58.2,4938.074162945625
Vienna to Minsk,Vienna,Minsk,"{16.34167, 48.206947}","{52.175837, 21.551665}",54.3,21.2,"EC   106, Os 44766, EIP 4502, RE 10169",9.883333333333333,75.5,33.5,Car,6.583333333333333,125.1,52.7,"Car, Aircraft, Car",3.9166666666666665,Austria,Belarus,Western Europe,Eastern Europe,5.966666666666667,0.0,1.0,84.96666666666667,35.800000000000004,125.1,52.7,4622.102955693951
Vienna to Brussels,Vienna,Brussels,"{16.34167, 48.206947}","{50.896393, 4.481941}",27.3,17.5,"ICE  228, ICE   14, IC  2314",10.45,118.4,52.5,Car,10.333333333333334,155.7,65.4,"Car, Aircraft",3.566666666666667,Austria,Belgium,Western Europe,Western Europe,6.883333333333333,0.0,1.0,100.46666666666665,45.13333333333333,155.7,65.4,5451.329788222607
Vienna to Sofia,Vienna,Sofia,"{16.34167, 48.206947}","{42.71194, 23.320832}",68.5,44.9,"RJX   61, 79, 1091, RE  7623",28.65,106.8,47.4,Car,9.333333333333334,149.2,62.7,"Car, Aircraft, Car",3.45,Austria,Bulgaria,Western Europe,Eastern Europe,25.2,0.0,1.0,108.16666666666667,51.666666666666664,149.2,62.7,3764.2532526879986
Vienna to Brno,Vienna,Brno,"{16.34167, 48.206947}","{16.609719, 49.189171}",5.2,3.3,"RE  2304, IC  1044",1.7333333333333334,15.8,7.0,Car,1.55,,,,,Austria,Czech Republic,Western Europe,Eastern Europe,,,,10.5,5.15,,,108.89218760536222
Vienna to Zagreb,Vienna,Zagreb,"{16.34167, 48.206947}","{45.804445, 15.978892}",10.0,8.3,"855, 4101, RE  4431, RE  2803, EN 40237",11.116666666666667,37.6,16.7,Car,3.716666666666667,105.5,44.4,"Car, Aircraft, Car",2.8333333333333335,Austria,Croatia,Western Europe,Eastern Europe,8.283333333333333,0.0,1.0,51.03333333333333,23.133333333333336,105.5,44.4,4432.235327361818
Vienna to Praha,Vienna,Praha,"{16.34167, 48.206947}","{50.084712, 14.434923}",20.4,11.1,"RE  2304, IC  1044",4.233333333333333,35.3,15.7,Car,3.4833333333333334,109.4,46.0,"Car, Aircraft, Car",2.8833333333333333,Austria,Czech Republic,Western Europe,Eastern Europe,1.35,0.0,1.0,55.03333333333333,24.266666666666666,109.4,46.0,4816.010800975619
Vienna to Copenhagen,Vienna,Copenhagen,"{16.34167, 48.206947}","{12.565553, 55.673054}",53.6,28.2,"ICE  228, ICE  880, EC   390",14.233333333333333,113.8,50.5,Car,9.933333333333334,149.6,62.9,"Car, Aircraft, Car",3.6333333333333333,Austria,Denmark,Western Europe,Northern Europe,10.6,0.0,1.0,105.66666666666667,47.199999999999996,149.6,62.9,906.779617546816
Vienna to Toulouse,Vienna,Toulouse,"{16.34167, 48.206947}","{1.45361, 43.611113}",17.1,40.8,"RJX  368, TGV 9222, TGV 2239, TGV 6825",16.8,157.2,69.8,Car,12.4,274.1,115.7,"Car, Aircraft, Car",8.466666666666667,Austria,France,Western Europe,Western Europe,8.333333333333334,0.0,1.0,149.46666666666667,75.43333333333334,274.1,115.7,1730.307906616974
Vienna to Munich,Vienna,Munich,"{16.34167, 48.206947}","{48.136948, 11.575275}",8.5,6.5,"RJX  368, ICE 1290",3.933333333333333,49.8,22.1,Car,4.916666666666667,136.9,57.7,"Car, Aircraft, Car",3.3833333333333333,Austria,Germany,Western Europe,Western Europe,0.5499999999999998,0.0,1.0,65.06666666666666,28.76666666666667,136.9,57.7,4854.756017207198
