Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Duration,Car CO2,Car Duration,Flight CO2,Flight Duration
Tirana,Vienna,"{10.166386, 46.215}","{16.34167, 48.206947}",10.8,41100,67.4,21180,120.69999999999999,17460
Tirana,Torino,"{10.166386, 46.215}","{45.060282, 7.677498}",13.4,13680,32.6,11580,121.5,15720
Tirana,Brussels,"{10.166386, 46.215}","{50.896393, 4.481941}",21.6,50760,87.3,27420,214.9,26760
Tirana,Sofia,"{10.166386, 46.215}","{42.71194, 23.320832}",104.3,166260,139.2,39480,176.70000000000002,15120
Tirana,Brno,"{10.166386, 46.215}","{16.609719, 49.189171}",16.7,48960,76.4,24000,134.7,21960
Tirana,Zagreb,"{10.166386, 46.215}","{45.804445, 15.978892}",35.0,78900,63.5,22560,107.9,17460
Tirana,Prague,"{10.166386, 46.215}","{46.395557, 15.661942}",34.6,78900,59.4,21120,146.6,19980
Tirana,Copenhagen,"{10.166386, 46.215}","{12.565553, 55.673054}",42.9,77640,133.2,37800,242.4,27060
Tirana,Toulouse,"{10.166386, 46.215}","{1.45361, 43.611113}",25.6,54300,97.3,30600,136.79999999999998,15180
Tirana,Munich,"{10.166386, 46.215}","{48.136948, 11.575275}",8.2,33780,33.5,11940,139.29999999999998,16260
Tirana,Helsinki,"{10.166386, 46.215}","{24.941111, 60.172218}",231.2,171720,228.7,64920,252.70000000000002,30060
Tirana,Paris,"{10.166386, 46.215}","{48.858395, 2.294254}",3.9,35820,85.8,26940,222.3,27480
Tirana,Lyon,"{10.166386, 46.215}","{4.863775, 45.702291}",1.6,42060,58.3,20760,113.2,14520
Tirana,Berlin,"{10.166386, 46.215}","{52.520555, 13.386943}",25.9,50700,96.5,30360,150.6,18960
Tirana,Stockholm,"{10.166386, 46.215}","{18.05763, 59.33001}",45.2,99540,193.8,55020,267.6,32940
Tirana,Budapest,"{10.166386, 46.215}","{18.949998, 47.499999}",19.3,84180,90.0,28260,140.8,14340
Tirana,Bucharest,"{10.166386, 46.215}","{51.918053, 15.365001}",44.1,77400,96.5,30360,160.3,24840
Tirana,Rome,"{10.166386, 46.215}","{41.900555, 12.501388}",32.2,45120,67.6,21240,128.7,14880
Tirana,Istanbul,"{10.166386, 46.215}","{41.014722, 28.976665}",139.8,213960,201.9,57300,226.7,27420
Tirana,London,"{10.166386, 46.215}","{-0.122918, 51.530888}",17.4,49740,125.0,39240,240.0,29280
Tirana,Graz,"{10.166386, 46.215}","{47.07222, 15.416392}",10.4,47640,57.9,20580,137.6,15300
Tirana,Hamburg,"{10.166386, 46.215}","{9.997497, 53.557218}",23.6,49500,106.6,33540,146.5,19920
Tirana,Barcelona,"{10.166386, 46.215}","{41.38444, 2.185278}",22.4,84360,109.6,34440,140.2,15000
Tirana,Milan,"{10.166386, 46.215}","{9.204163, 45.486388}",7.3,9120,15.6,5580,-1,-1
Tirana,Belgrade,"{10.166386, 46.215}","{50.771111, 3.87222}",22.6,53700,89.8,28200,139.5,19980
Tirana,Ljubljana,"{10.166386, 46.215}","{46.058057, 14.51028}",30.4,70320,47.1,16740,144.7,18240
Tirana,Zurich,"{10.166386, 46.215}","{8.540274, 47.37806}",8.8,46020,25.2,8940,101.6,15600
Tirana,Bern,"{10.166386, 46.215}","{46.948888, 7.439167}",13.2,51360,31.5,11220,193.3,29880
Tirana,Napoli,"{10.166386, 46.215}","{40.839163, 14.25139}",41.0,49200,89.1,28020,127.0,13500
Tirana,Amsterdam,"{10.166386, 46.215}","{4.900559, 52.378607}",25.8,51480,102.5,32220,228.6,29100
Tirana,Warszawa,"{10.166386, 46.215}","{52.228855, 21.003215}",82.8,77280,129.0,36600,235.0,28740
Tirana,Riga,"{10.166386, 46.215}","{24.120279, 56.946943}",168.7,228900,191.1,54240,151.0,19320
Tirana,Oslo,"{10.166386, 46.215}","{10.755279, 59.910282}",44.9,108360,190.5,54060,284.09999999999997,34440
Vienna,Torino,"{16.34167, 48.206947}","{45.060282, 7.677498}",32.5,40440,97.7,30720,137.7,16680
Vienna,Brussels,"{16.34167, 48.206947}","{50.896393, 4.481941}",27.3,37620,118.4,37200,155.70000000000002,12840
Vienna,Sofia,"{16.34167, 48.206947}","{42.71194, 23.320832}",68.5,103140,106.8,33600,149.20000000000002,12420
Vienna,Brno,"{16.34167, 48.206947}","{16.609719, 49.189171}",5.2,6240,15.8,5580,-1,-1
Vienna,Zagreb,"{16.34167, 48.206947}","{45.804445, 15.978892}",10.0,40020,37.6,13380,105.5,10200
Vienna,Prague,"{16.34167, 48.206947}","{46.395557, 15.661942}",5.4,25560,29.1,10320,93.89999999999999,13980
Vienna,Copenhagen,"{16.34167, 48.206947}","{12.565553, 55.673054}",56.3,51240,113.8,35760,149.5,13080
Vienna,Toulouse,"{16.34167, 48.206947}","{1.45361, 43.611113}",17.1,60600,157.2,44640,274.1,30480
Vienna,Munich,"{16.34167, 48.206947}","{48.136948, 11.575275}",10.2,16200,49.8,17700,136.9,12180
Vienna,Helsinki,"{16.34167, 48.206947}","{24.941111, 60.172218}",236.8,158580,180.3,51180,141.4,16560
Vienna,Paris,"{16.34167, 48.206947}","{48.858395, 2.294254}",24.9,34980,128.9,36600,176.2,15300
Vienna,Lyon,"{16.34167, 48.206947}","{4.863775, 45.702291}",20.1,46020,119.4,37500,156.5,14040
Vienna,Berlin,"{16.34167, 48.206947}","{52.520555, 13.386943}",23.4,27000,68.2,21420,116.0,11640
Vienna,Stockholm,"{16.34167, 48.206947}","{18.05763, 59.33001}",64.4,84180,155.5,44100,128.7,17640
Vienna,Budapest,"{16.34167, 48.206947}","{18.949998, 47.499999}",8.5,8520,30.3,10740,111.5,10440
Vienna,Bucharest,"{16.34167, 48.206947}","{51.918053, 15.365001}",46.3,37140,59.0,21000,117.7,18060
Vienna,Rome,"{16.34167, 48.206947}","{41.900555, 12.501388}",39.6,42180,100.2,31500,147.2,13620
Vienna,Istanbul,"{16.34167, 48.206947}","{41.014722, 28.976665}",104.0,150840,159.6,45300,121.5,15000
Vienna,London,"{16.34167, 48.206947}","{-0.122918, 51.530888}",41.5,48420,154.4,43800,120.80000000000001,15720
Vienna,Graz,"{16.34167, 48.206947}","{47.07222, 15.416392}",3.3,10440,20.1,7140,84.89999999999999,9300
Vienna,Hamburg,"{16.34167, 48.206947}","{9.997497, 53.557218}",31.3,47160,97.0,30480,143.2,12600
Vienna,Barcelona,"{16.34167, 48.206947}","{41.38444, 2.185278}",20.3,71940,168.8,47880,131.8,15780
Vienna,Milan,"{16.34167, 48.206947}","{9.204163, 45.486388}",28.7,38640,81.3,25560,135.6,11760
Vienna,Belgrade,"{16.34167, 48.206947}","{50.771111, 3.87222}",28.3,40560,123.4,38760,162.70000000000002,16440
Vienna,Ljubljana,"{16.34167, 48.206947}","{46.058057, 14.51028}",9.6,21300,38.7,13740,105.9,10440
Vienna,Zurich,"{16.34167, 48.206947}","{8.540274, 47.37806}",10.6,27900,77.1,24240,130.70000000000002,11820
Vienna,Bern,"{16.34167, 48.206947}","{46.948888, 7.439167}",10.7,31980,89.1,28020,143.6,16140
Vienna,Napoli,"{16.34167, 48.206947}","{40.839163, 14.25139}",49.2,47820,109.5,34380,153.1,13440
Vienna,Amsterdam,"{16.34167, 48.206947}","{4.900559, 52.378607}",36.0,44100,122.2,38400,163.0,14400
Vienna,Warszawa,"{16.34167, 48.206947}","{52.228855, 21.003215}",51.6,28560,72.9,22920,120.1,11520
Vienna,Riga,"{16.34167, 48.206947}","{24.120279, 56.946943}",138.1,142380,138.1,39180,107.5,14640
