Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Duration,Car CO2,Car Duration,Flight CO2,Flight Duration
Vienna,Oslo,"{16.34167, 48.206947}","{10.755279, 59.910282}",59.0,102300,169.0,48000,137.8,18120
Torino,Brussels,"{45.060282, 7.677498}","{50.896393, 4.481941}",19.6,45120,90.1,28320,125.6,11280
Torino,Sofia,"{45.060282, 7.677498}","{42.71194, 23.320832}",103.5,162540,160.0,45420,119.0,16680
Torino,Brno,"{45.060282, 7.677498}","{16.609719, 49.189171}",40.2,52560,106.7,33540,151.7,20940
Torino,Zagreb,"{45.060282, 7.677498}","{45.804445, 15.978892}",34.0,53220,85.4,26820,125.60000000000001,14460
Torino,Prague,"{45.060282, 7.677498}","{46.395557, 15.661942}",33.5,43380,83.3,26160,148.7,19980
Torino,Copenhagen,"{45.060282, 7.677498}","{12.565553, 55.673054}",53.6,71100,153.6,43620,122.9,17520
Torino,Toulouse,"{45.060282, 7.677498}","{1.45361, 43.611113}",16.1,45780,68.0,21360,178.0,25500
Torino,Munich,"{45.060282, 7.677498}","{48.136948, 11.575275}",28.7,29760,63.6,22620,118.6,13560
Torino,Helsinki,"{45.060282, 7.677498}","{24.941111, 60.172218}",239.6,169980,254.0,72060,185.4,20160
Torino,Paris,"{45.060282, 7.677498}","{48.858395, 2.294254}",16.0,34680,76.3,24000,125.8,12300
Torino,Lyon,"{45.060282, 7.677498}","{4.863775, 45.702291}",13.3,25920,32.7,11640,111.7,13380
Torino,Berlin,"{45.060282, 7.677498}","{52.520555, 13.386943}",34.2,69000,121.3,38100,154.6,17040
Torino,Stockholm,"{45.060282, 7.677498}","{18.05763, 59.33001}",62.3,128280,216.6,61440,250.2,33540
Torino,Budapest,"{45.060282, 7.677498}","{18.949998, 47.499999}",43.0,50520,119.3,37500,143.39999999999998,15480
Torino,Bucharest,"{45.060282, 7.677498}","{51.918053, 15.365001}",48.1,80640,124.0,38940,163.5,25920
Torino,Rome,"{45.060282, 7.677498}","{41.900555, 12.501388}",30.6,43560,68.8,21600,117.3,11520
Torino,Istanbul,"{45.060282, 7.677498}","{41.014722, 28.976665}",139.1,210240,222.9,63240,163.10000000000002,19020
Torino,London,"{45.060282, 7.677498}","{-0.122918, 51.530888}",28.9,48000,120.2,37800,149.0,14040
Torino,Graz,"{45.060282, 7.677498}","{47.07222, 15.416392}",31.3,36900,83.3,26220,150.1,21120
Torino,Hamburg,"{45.060282, 7.677498}","{9.997497, 53.557218}",33.3,66660,125.2,39360,153.79999999999998,15240
Torino,Barcelona,"{45.060282, 7.677498}","{41.38444, 2.185278}",20.5,100680,79.4,24960,131.48999999999998,10680
Torino,Milan,"{45.060282, 7.677498}","{9.204163, 45.486388}",6.1,3000,17.9,6360,-1,-1
Torino,Belgrade,"{45.060282, 7.677498}","{50.771111, 3.87222}",31.6,70260,90.7,28500,132.6,14940
Torino,Ljubljana,"{45.060282, 7.677498}","{46.058057, 14.51028}",29.2,34800,71.1,22320,143.29999999999998,17040
Torino,Zurich,"{45.060282, 7.677498}","{8.540274, 47.37806}",9.7,39000,37.3,13260,118.30000000000001,13860
Torino,Bern,"{45.060282, 7.677498}","{46.948888, 7.439167}",10.7,47760,29.4,10440,-1,-1
Torino,Napoli,"{45.060282, 7.677498}","{40.839163, 14.25139}",39.5,49200,92.9,29220,132.4,10860
Torino,Amsterdam,"{45.060282, 7.677498}","{4.900559, 52.378607}",34.9,73440,109.4,34380,160.4,17640
Torino,Warszawa,"{45.060282, 7.677498}","{52.228855, 21.003215}",106.2,80700,157.5,44700,123.39999999999999,18060
Torino,Riga,"{45.060282, 7.677498}","{24.120279, 56.946943}",172.5,186180,217.9,61860,156.8,18960
Torino,Oslo,"{45.060282, 7.677498}","{10.755279, 59.910282}",56.4,106200,207.9,59040,155.7,20100
Porto,Moscow,"{-8.585552, 41.149722}","{38.776112, -9.099169}",8.6,10680,37.6,13380,102.36,8220
Porto,Lisbon,"{-8.585552, 41.149722}","{38.767779, -9.098054}",8.5,10200,37.8,13440,102.36999999999999,8280
Brussels,Sofia,"{50.896393, 4.481941}","{42.71194, 23.320832}",103.8,163500,211.5,60000,157.8,15240
Brussels,Brno,"{50.896393, 4.481941}","{16.609719, 49.189171}",33.4,44580,115.8,36360,231.0,20460
Brussels,Zagreb,"{50.896393, 4.481941}","{45.804445, 15.978892}",35.1,79740,127.5,36180,170.8,11820
Brussels,Prague,"{50.896393, 4.481941}","{46.395557, 15.661942}",30.6,55500,125.6,39480,251.70000000000002,25860
Brussels,Copenhagen,"{50.896393, 4.481941}","{12.565553, 55.673054}",42.2,48060,98.7,31020,137.79999999999998,10740
Brussels,Toulouse,"{50.896393, 4.481941}","{1.45361, 43.611113}",9.7,50160,110.0,34560,141.0,11340
Brussels,Munich,"{50.896393, 4.481941}","{48.136948, 11.575275}",22.7,23760,77.8,24480,129.6,11580
Brussels,Helsinki,"{50.896393, 4.481941}","{24.941111, 60.172218}",232.5,145740,204.9,58140,155.1,15060
Brussels,Paris,"{50.896393, 4.481941}","{48.858395, 2.294254}",3.6,7320,38.1,13560,124.8,9660
Brussels,Lyon,"{50.896393, 4.481941}","{4.863775, 45.702291}",6.7,40440,75.0,23580,124.1,11100
Brussels,Berlin,"{50.896393, 4.481941}","{52.520555, 13.386943}",28.6,41280,83.9,26400,117.67,9840
Brussels,Stockholm,"{50.896393, 4.481941}","{18.05763, 59.33001}",46.7,78540,158.8,45060,119.19,13140
Brussels,Budapest,"{50.896393, 4.481941}","{18.949998, 47.499999}",36.7,49500,140.1,39780,109.19999999999999,12900
Brussels,Bucharest,"{50.896393, 4.481941}","{51.918053, 15.365001}",42.4,54960,99.7,31320,137.2,16380
Brussels,Rome,"{50.896393, 4.481941}","{41.900555, 12.501388}",56.3,69780,146.8,41700,245.2,22560
Brussels,Istanbul,"{50.896393, 4.481941}","{41.014722, 28.976665}",139.4,211200,271.8,77160,200.7,17340
Brussels,London,"{50.896393, 4.481941}","{-0.122918, 51.530888}",9.5,11820,46.3,16440,119.4,10020
Brussels,Graz,"{50.896393, 4.481941}","{47.07222, 15.416392}",28.5,46200,118.1,37080,242.70000000000002,21180
Brussels,Hamburg,"{50.896393, 4.481941}","{9.997497, 53.557218}",15.6,24480,67.2,23940,116.0,9480
Brussels,Barcelona,"{50.896393, 4.481941}","{41.38444, 2.185278}",14.2,35520,134.3,38100,103.3,12600
Brussels,Milan,"{50.896393, 4.481941}","{9.204163, 45.486388}",31.1,57180,90.9,28560,129.4,10620
Brussels,Belgrade,"{50.896393, 4.481941}","{50.771111, 3.87222}",1.6,4260,6.8,3600,-1,-1
Brussels,Ljubljana,"{50.896393, 4.481941}","{46.058057, 14.51028}",33.6,49440,119.4,37500,151.70000000000002,12060
Brussels,Zurich,"{50.896393, 4.481941}","{8.540274, 47.37806}",21.1,28020,68.9,24480,116.10000000000001,9660
Brussels,Bern,"{50.896393, 4.481941}","{46.948888, 7.439167}",24.3,31380,68.8,24480,117.94999999999999,9420
Brussels,Napoli,"{50.896393, 4.481941}","{40.839163, 14.25139}",65.0,75660,168.4,47820,126.9,13620
Brussels,Amsterdam,"{50.896393, 4.481941}","{4.900559, 52.378607}",6.1,7380,23.5,8400,85.6,9060
Brussels,Warszawa,"{50.896393, 4.481941}","{52.228855, 21.003215}",73.5,47280,143.8,40800,108.6,12420
Brussels,Riga,"{50.896393, 4.481941}","{24.120279, 56.946943}",154.9,171000,180.6,51240,134.70000000000002,13920
Brussels,Oslo,"{50.896393, 4.481941}","{10.755279, 59.910282}",51.1,96600,134.7,38220,236.1,28200
Sofia,Brno,"{42.71194, 23.320832}","{16.609719, 49.189171}",73.0,101160,116.0,36420,163.20000000000002,17160
Sofia,Zagreb,"{42.71194, 23.320832}","{45.804445, 15.978892}",78.0,124380,88.6,27840,145.29999999999998,16260
Sofia,Prague,"{42.71194, 23.320832}","{46.395557, 15.661942}",73.4,115320,95.7,30060,147.4,20160
Sofia,Copenhagen,"{42.71194, 23.320832}","{12.565553, 55.673054}",117.8,163800,204.5,58020,283.6,32400
Sofia,Toulouse,"{42.71194, 23.320832}","{1.45361, 43.611113}",98.1,151500,221.5,62880,-1,-1
Sofia,Munich,"{42.71194, 23.320832}","{48.136948, 11.575275}",77.9,108120,137.1,38940,108.60000000000001,14580
Sofia,Helsinki,"{42.71194, 23.320832}","{24.941111, 60.172218}",324.5,269580,243.2,69060,287.59999999999997,35100
Sofia,Paris,"{42.71194, 23.320832}","{48.858395, 2.294254}",92.0,128880,219.7,62340,166.1,17160
Sofia,Lyon,"{42.71194, 23.320832}","{4.863775, 45.702291}",95.6,139920,188.5,53520,243.7,29280
Sofia,Berlin,"{42.71194, 23.320832}","{52.520555, 13.386943}",90.6,123600,164.4,46680,125.0,13980
Sofia,Stockholm,"{42.71194, 23.320832}","{18.05763, 59.33001}",121.0,185220,235.5,66840,260.9,34800
Sofia,Budapest,"{42.71194, 23.320832}","{18.949998, 47.499999}",58.8,81000,82.4,25860,130.79999999999998,10380
Sofia,Bucharest,"{42.71194, 23.320832}","{51.918053, 15.365001}",113.1,133140,148.2,42060,132.8,22680
Sofia,Istanbul,"{42.71194, 23.320832}","{41.014722, 28.976665}",39.4,42540,65.8,20640,116.89999999999999,10080
Sofia,London,"{42.71194, 23.320832}","{-0.122918, 51.530888}",103.3,145620,252.0,71520,192.1,18840
Sofia,Graz,"{42.71194, 23.320832}","{47.07222, 15.416392}",70.5,104820,103.1,32400,166.5,18360
Sofia,Hamburg,"{42.71194, 23.320832}","{9.997497, 53.557218}",96.9,126660,194.2,55140,136.4,24420
Sofia,Barcelona,"{42.71194, 23.320832}","{41.38444, 2.185278}",88.5,194880,219.0,62160,163.54,16020
Sofia,Milan,"{42.71194, 23.320832}","{9.204163, 45.486388}",93.4,131100,146.1,41460,109.3,13800
Sofia,Belgrade,"{42.71194, 23.320832}","{50.771111, 3.87222}",95.5,137160,215.6,61200,164.70000000000002,19140
Sofia,Ljubljana,"{42.71194, 23.320832}","{46.058057, 14.51028}",77.6,122700,103.6,32580,144.9,19860
Sofia,Zurich,"{42.71194, 23.320832}","{8.540274, 47.37806}",77.6,125400,158.7,45060,121.60000000000001,14280
Sofia,Bern,"{42.71194, 23.320832}","{46.948888, 7.439167}",77.7,129480,167.0,47400,134.5,18660
Sofia,Napoli,"{42.71194, 23.320832}","{40.839163, 14.25139}",123.5,184680,102.7,32280,181.4,22260
Sofia,Amsterdam,"{42.71194, 23.320832}","{4.900559, 52.378607}",99.3,136740,218.0,61860,164.70000000000002,17040
Sofia,Warszawa,"{42.71194, 23.320832}","{52.228855, 21.003215}",118.3,132420,134.1,38040,102.6,12480
Sofia,Riga,"{42.71194, 23.320832}","{24.120279, 56.946943}",198.9,270780,198.1,56220,341.40000000000003,37140
Sofia,Oslo,"{42.71194, 23.320832}","{10.755279, 59.910282}",120.7,198900,261.9,74340,255.3,34440
Brno,Zagreb,"{16.609719, 49.189171}","{45.804445, 15.978892}",15.4,50100,53.4,18960,119.5,14700
Brno,Prague,"{16.609719, 49.189171}","{46.395557, 15.661942}",11.4,26640,44.8,15960,130.1,20220
Brno,Copenhagen,"{16.609719, 49.189171}","{12.565553, 55.673054}",64.3,58860,100.8,31680,235.4,20640
Brno,Toulouse,"{16.609719, 49.189171}","{1.45361, 43.611113}",22.5,69420,164.4,46620,280.8,32820
Brno,Munich,"{16.609719, 49.189171}","{48.136948, 11.575275}",14.5,22140,54.7,19440,209.2,21180
Brno,Helsinki,"{16.609719, 49.189171}","{24.941111, 60.172218}",253.0,157440,166.5,47280,227.0,23880
Brno,Paris,"{16.609719, 49.189171}","{48.858395, 2.294254}",58.5,57000,129.8,36840,248.9,22980
Brno,Lyon,"{16.609719, 49.189171}","{4.863775, 45.702291}",17.8,82560,125.9,39540,242.85,21900
Brno,Berlin,"{16.609719, 49.189171}","{52.520555, 13.386943}",33.0,26040,60.6,21600,209.89999999999998,18960
Brno,Stockholm,"{16.609719, 49.189171}","{18.05763, 59.33001}",73.6,90240,141.5,40140,205.63,24000
Brno,Budapest,"{16.609719, 49.189171}","{18.949998, 47.499999}",12.6,14760,36.5,12960,125.5,14880
Brno,Bucharest,"{16.609719, 49.189171}","{51.918053, 15.365001}",42.8,34740,44.4,15780,-1,-1
Brno,Rome,"{16.609719, 49.189171}","{41.900555, 12.501388}",45.6,51960,114.4,35940,161.2,18120
Brno,Istanbul,"{16.609719, 49.189171}","{41.014722, 28.976665}",107.7,155520,165.8,47040,135.5,19440
Brno,London,"{16.609719, 49.189171}","{-0.122918, 51.530888}",64.4,63060,151.7,43080,115.39999999999999,15180
Brno,Graz,"{16.609719, 49.189171}","{47.07222, 15.416392}",9.3,15300,35.4,12600,98.89999999999999,13800
Brno,Hamburg,"{16.609719, 49.189171}","{9.997497, 53.557218}",43.0,35100,87.2,27420,220.1,20400
Brno,Milan,"{16.609719, 49.189171}","{9.204163, 45.486388}",31.4,43020,90.8,28500,149.6,16260
Brno,Belgrade,"{16.609719, 49.189171}","{50.771111, 3.87222}",56.5,54600,121.1,38040,237.9,24060
Brno,Ljubljana,"{16.609719, 49.189171}","{46.058057, 14.51028}",15.1,39120,53.7,19080,119.9,14940
Brno,Zurich,"{16.609719, 49.189171}","{8.540274, 47.37806}",16.5,35880,82.3,25860,226.29999999999998,20400
Brno,Bern,"{16.609719, 49.189171}","{46.948888, 7.439167}",16.6,39960,94.8,29760,234.29999999999998,25800
Brno,Napoli,"{16.609719, 49.189171}","{40.839163, 14.25139}",57.8,81240,124.1,39000,167.1,17940
Brno,Amsterdam,"{16.609719, 49.189171}","{4.900559, 52.378607}",38.1,47220,117.0,36780,234.4,21840
Brno,Warszawa,"{16.609719, 49.189171}","{52.228855, 21.003215}",53.2,27840,64.5,22920,145.0,19500
Brno,Riga,"{16.609719, 49.189171}","{24.120279, 56.946943}",139.7,141660,130.3,40980,267.16999999999996,21840
Brno,Oslo,"{16.609719, 49.189171}","{10.755279, 59.910282}",66.7,94080,156.3,44340,210.26,24480
Zagreb,Prague,"{45.804445, 15.978892}","{46.395557, 15.661942}",4.4,10200,10.7,5580,-1,-1
Zagreb,Copenhagen,"{45.804445, 15.978892}","{12.565553, 55.673054}",61.1,75300,140.5,39840,108.2,12540
Zagreb,Toulouse,"{45.804445, 15.978892}","{1.45361, 43.611113}",41.4,95280,146.6,41580,278.8,27420
Zagreb,Munich,"{45.804445, 15.978892}","{48.136948, 11.575275}",13.9,31260,59.6,21240,110.5,11940
Zagreb,Helsinki,"{45.804445, 15.978892}","{24.941111, 60.172218}",261.8,180960,213.0,60480,238.5,31860
Zagreb,Paris,"{45.804445, 15.978892}","{48.858395, 2.294254}",18.8,64680,135.1,38340,106.0,14460
Zagreb,Lyon,"{45.804445, 15.978892}","{4.863775, 45.702291}",16.8,87420,112.9,35460,237.6,26460
Zagreb,Berlin,"{45.804445, 15.978892}","{52.520555, 13.386943}",37.3,50760,100.4,31560,141.9,13020
Zagreb,Stockholm,"{45.804445, 15.978892}","{18.05763, 59.33001}",64.3,96720,188.9,53640,144.29,15960
Zagreb,Budapest,"{45.804445, 15.978892}","{18.949998, 47.499999}",18.6,35160,42.1,14940,114.85000000000001,9000
Zagreb,Bucharest,"{45.804445, 15.978892}","{51.918053, 15.365001}",60.1,84300,89.1,28020,150.9,21780
Zagreb,Rome,"{45.804445, 15.978892}","{41.900555, 12.501388}",41.8,46800,68.0,21360,117.8,15840
Zagreb,Istanbul,"{45.804445, 15.978892}","{41.014722, 28.976665}",116.2,201660,146.8,41640,109.4,14820
Zagreb,London,"{45.804445, 15.978892}","{-0.122918, 51.530888}",51.4,76620,167.5,47520,132.3,17040
Zagreb,Graz,"{45.804445, 15.978892}","{47.07222, 15.416392}",6.4,15420,20.7,7380,123.3,12240
Zagreb,Hamburg,"{45.804445, 15.978892}","{9.997497, 53.557218}",41.4,56160,125.7,39540,142.5,17460
Zagreb,Barcelona,"{45.804445, 15.978892}","{41.38444, 2.185278}",46.3,86040,152.1,43200,111.0,17580
Zagreb,Milan,"{45.804445, 15.978892}","{9.204163, 45.486388}",31.0,42000,69.2,21720,122.3,12540
Zagreb,Belgrade,"{45.804445, 15.978892}","{50.771111, 3.87222}",43.6,68160,131.4,37260,177.8,16920
Zagreb,Ljubljana,"{45.804445, 15.978892}","{46.058057, 14.51028}",4.6,8520,16.5,5880,119.59,8340
Zagreb,Zurich,"{45.804445, 15.978892}","{8.540274, 47.37806}",15.2,49200,77.7,24420,129.7,11880
Zagreb,Bern,"{45.804445, 15.978892}","{46.948888, 7.439167}",15.3,53280,87.2,27420,142.6,16200
Zagreb,Napoli,"{45.804445, 15.978892}","{40.839163, 14.25139}",50.6,50880,74.9,23520,142.3,24000
Zagreb,Amsterdam,"{45.804445, 15.978892}","{4.900559, 52.378607}",45.7,64140,135.9,38580,106.5,13380
Zagreb,Warszawa,"{45.804445, 15.978892}","{52.228855, 21.003215}",62.1,52260,104.9,33000,217.2,26820
Zagreb,Riga,"{45.804445, 15.978892}","{24.120279, 56.946943}",142.4,182280,170.0,48240,204.60000000000002,29940
Zagreb,Oslo,"{45.804445, 15.978892}","{10.755279, 59.910282}",63.9,110400,200.9,57000,246.6,39840
Prague,Copenhagen,"{46.395557, 15.661942}","{12.565553, 55.673054}",53.7,75480,131.8,37380,237.6,26880
Prague,Toulouse,"{46.395557, 15.661942}","{1.45361, 43.611113}",35.5,97980,144.8,41100,285.9,28080
Prague,Munich,"{46.395557, 15.661942}","{48.136948, 11.575275}",12.0,29100,51.4,18300,130.9,15960
Prague,Helsinki,"{46.395557, 15.661942}","{24.941111, 60.172218}",239.8,181260,206.1,58500,229.4,30360
Prague,Paris,"{46.395557, 15.661942}","{48.858395, 2.294254}",29.4,53400,129.2,36660,234.8,29220
Prague,Lyon,"{46.395557, 15.661942}","{4.863775, 45.702291}",13.6,89220,109.5,34380,236.4,25080
Prague,Berlin,"{46.395557, 15.661942}","{52.520555, 13.386943}",26.5,42480,91.3,28680,142.2,16560
Prague,Stockholm,"{46.395557, 15.661942}","{18.05763, 59.33001}",56.9,96900,181.0,51360,216.7,31440
Prague,Budapest,"{46.395557, 15.661942}","{18.949998, 47.499999}",13.8,27420,39.8,14160,117.0,12900
Prague,Bucharest,"{46.395557, 15.661942}","{51.918053, 15.365001}",51.7,66540,80.3,25260,205.8,31860
Prague,Rome,"{46.395557, 15.661942}","{41.900555, 12.501388}",40.5,47460,73.7,23160,128.4,21360
Prague,Istanbul,"{46.395557, 15.661942}","{41.014722, 28.976665}",109.4,167520,152.9,43380,111.60000000000001,18720
Prague,London,"{46.395557, 15.661942}","{-0.122918, 51.530888}",39.3,79020,160.5,45540,278.8,29340
Prague,Graz,"{46.395557, 15.661942}","{47.07222, 15.416392}",2.0,4800,11.8,6180,-1,-1
Prague,Hamburg,"{46.395557, 15.661942}","{9.997497, 53.557218}",32.8,45540,116.6,36660,141.4,15060
Prague,Barcelona,"{46.395557, 15.661942}","{41.38444, 2.185278}",43.2,110100,152.2,43200,109.8,16200
Prague,Milan,"{46.395557, 15.661942}","{9.204163, 45.486388}",29.6,43920,66.8,21000,145.5,18180
Prague,Belgrade,"{46.395557, 15.661942}","{50.771111, 3.87222}",31.3,56040,129.8,40800,258.6,29520
Prague,Ljubljana,"{46.395557, 15.661942}","{46.058057, 14.51028}",4.2,7200,14.6,7620,-1,-1
Prague,Zurich,"{46.395557, 15.661942}","{8.540274, 47.37806}",12.0,44280,72.2,22680,127.60000000000001,17220
Prague,Bern,"{46.395557, 15.661942}","{46.948888, 7.439167}",12.1,48360,82.4,25920,257.8,25920
Prague,Napoli,"{46.395557, 15.661942}","{40.839163, 14.25139}",50.1,53100,82.5,25920,126.9,16920
Prague,Amsterdam,"{46.395557, 15.661942}","{4.900559, 52.378607}",35.2,70140,127.9,36300,247.4,28380
Prague,Warszawa,"{46.395557, 15.661942}","{52.228855, 21.003215}",57.4,44100,98.7,31020,208.1,25320
Prague,Riga,"{46.395557, 15.661942}","{24.120279, 56.946943}",138.0,172020,163.6,46440,195.60000000000002,28440
Prague,Oslo,"{46.395557, 15.661942}","{10.755279, 59.910282}",56.6,110580,192.2,54540,237.6,38340
