Departure Region,Arrival Region,avg_co2
Western Europe,Southern Europe,102.35994047619047
Western Europe,Eastern Europe,137.68515432098766
Western Europe,Northern Europe,152.45740740740743
Western Europe,British Isles,107.78628257887519
Southern Europe,Western Europe,97.4542402826855
Southern Europe,Eastern Europe,132.71818181818182
Southern Europe,Northern Europe,190.08434343434342
Southern Europe,British Isles,141.22148148148148
Eastern Europe,Western Europe,132.88239116309293
Eastern Europe,Southern Europe,128.9944741532977
Eastern Europe,Northern Europe,164.90129449838187
Eastern Europe,British Isles,176.13840155945417
Northern Europe,Western Europe,145.95456790123458
Northern Europe,Southern Europe,191.6419540229885
Northern Europe,Eastern Europe,161.28217054263567
Northern Europe,British Isles,158.2595238095238
British Isles,Western Europe,110.09835390946503
British Isles,Southern Europe,152.49925925925925
British Isles,Eastern Europe,185.16500000000002
British Isles,Northern Europe,168.77189542483663
Western Europe,Western Europe,74.50987654320988
Southern Europe,Southern Europe,71.89766355140188
Eastern Europe,Eastern Europe,101.17847411444141
Northern Europe,Northern Europe,94.25060606060606
British Isles,British Isles,41.38263888888889
