ID,Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Energy Resource Consumption,Train Products,Train Duration,Car CO2,Car Energy Resource Consumption,Car Products,Car Duration,Flight CO2,Flight Energy Resource Consumption,Flight Products,Flight Duration,Departure Country,Arrival Country,Departure Region,Arrival Region,avg_co2,avg_erc
Tirana to Andorra la Vella,Tirana,Andorra la Vella,"{10.166386, 46.215}","{46.255559, 7.307223}",14.3,9.8,"['RE  2843', 'EC    50', '1814', 'Walk', 'Bus78035']",868,30.9,13.7,['Car'],183,138.0,58.6,"['Car', 'Aircraft', 'Car']",371,Albania,Andorra,Southern Europe,Southern Europe,61.06666666666666,27.366666666666664
Tirana to Vienna,Tirana,Vienna,"{10.166386, 46.215}","{16.34167, 48.206947}",10.8,13.7,"['RE  1636', 'RE  1936', '1136', '3272', 'RJX  167']",685,67.4,29.9,['Car'],353,120.7,51.2,"['Car', 'Aircraft', 'Car']",291,Albania,Austria,Southern Europe,Western Europe,66.3,31.599999999999998
Tirana to Torino,Tirana,Torino,"{10.166386, 46.215}","{45.060282, 7.677498}",13.4,8.0,"['RE  2817', 'Walk', 'FR  9712']",228,32.6,14.5,['Car'],193,121.5,52.8,"['Train', 'Aircraft', 'Train']",262,Albania,Italy,Southern Europe,Southern Europe,55.833333333333336,25.099999999999998
Tirana to Minsk,Tirana,Minsk,"{10.166386, 46.215}","{52.175837, 21.551665}",70.8,36.8,"['RE  1644', 'RE  1944', '1144', '3276', 'RJX  169', 'EN   406', '311', 'EIP 4508', 'IC 12104']",1410,132.3,58.8,['Car'],626,239.9,101.4,"['Car', 'Aircraft', 'Car']",522,Albania,Belarus,Southern Europe,Eastern Europe,147.66666666666666,65.66666666666667
Tirana to Brussels,Tirana,Brussels,"{10.166386, 46.215}","{50.896393, 4.481941}",21.6,20.2,"['RE  4632', 'RE  1334', 'ICE   70', 'ICE   10', 'IC  2318']",846,87.3,38.8,['Car'],457,214.9,90.6,"['Car', 'Aircraft']",446,Albania,Belgium,Southern Europe,Western Europe,107.93333333333334,49.86666666666667
Tirana to Sarajevo,Tirana,Sarajevo,"{10.166386, 46.215}","{16.677219, 48.023333}",11.5,14.3,"['RE  1636', 'RE  1936', '1136', '3272', 'RJX  167', '26173']",742,69.6,30.9,['Car'],364,119.8,50.8,"['Car', 'Aircraft', 'Car']",283,Albania,Bosnia and Herzegovina,Southern Europe,Southern Europe,66.96666666666665,32.0
Tirana to Sofia,Tirana,Sofia,"{10.166386, 46.215}","{42.71194, 23.320832}",104.3,68.5,"['RE  2839', 'Transfer', 'EN   235', 'EC   143', '79', '1091', 'RE  7623']",2771,139.2,61.8,['Car'],658,176.70000000000002,75.10000000000001,"['Train', 'Aircraft', 'Train']",252,Albania,Bulgaria,Southern Europe,Eastern Europe,140.0666666666667,68.46666666666668
Tirana to Brno,Tirana,Brno,"{10.166386, 46.215}","{16.609719, 49.189171}",16.7,17.4,"['RE  1636', 'RE  1936', '1136', '3272', 'RJX  167', 'RJ   374']",816,76.4,33.9,['Car'],400,134.7,57.400000000000006,"['Car', 'Aircraft', 'Car']",366,Albania,Czech Republic,Southern Europe,Eastern Europe,75.93333333333334,36.233333333333334
Tirana to Zagreb,Tirana,Zagreb,"{10.166386, 46.215}","{45.804445, 15.978892}",35.1,21.8,"['RE  2843', 'FR  9707', 'EC   135', 'EC   213']",1479,63.5,28.2,['Car'],376,107.9,47.3,"['Train', 'Aircraft', 'Train']",291,Albania,Croatia,Southern Europe,Southern Europe,68.83333333333333,32.43333333333333
Tirana to Nicosia,Tirana,Nicosia,"{10.166386, 46.215}","{27.579723, 47.147775}",68.0,53.2,"['RE  1636', 'RE  1936', '1136', '3272', 'RJX  167', 'RJX  261', 'IC   367', '1838', 'IR  1660']",2664,166.3,73.9,['Car'],787,256.9,108.4,"['Car', 'Aircraft', 'Car']",486,Albania,Cyprus,Southern Europe,Southern Europe,163.73333333333332,78.5
