ID,Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Energy Resource Consumption,Train Products,Train Duration,Car CO2,Car Energy Resource Consumption,Car Products,Car Duration,Flight CO2,Flight Energy Resource Consumption,Flight Products,Flight Duration,Departure Country,Arrival Country,Departure Region,Arrival Region,train_flight_duration_delta,train_market_share,flight_market_share,avg_co2,avg_erc,avg_co2_w,avg_erc_w,distance
Vienna to Torino,Vienna,Torino,"[48.206947, 16.34167]","[45.060282, 7.677498]",32.5,22.5,"RJX  368, 5210, RE 17149, RV  3841, FR  9729, FR  9532",11.233333333333333,97.7,43.4,Car,8.533333333333333,137.6,58.2,"Car, Aircraft, Car",4.633333333333334,Austria,Italy,Western Europe,Southern Europe,6.599999999999999,0.0,1.0,89.26666666666665,41.36666666666667,137.6,58.2,747.7541609115896
Vienna to Brussels,Vienna,Brussels,"[48.206947, 16.34167]","[50.896393, 4.481941]",27.3,17.5,"ICE  228, ICE   14, IC  2314",10.45,118.4,52.5,Car,10.333333333333334,155.7,65.4,"Car, Aircraft",3.566666666666667,Austria,Belgium,Western Europe,Western Europe,6.883333333333333,0.0,1.0,100.46666666666665,45.13333333333333,155.7,65.4,905.0933350524456
Vienna to Sofia,Vienna,Sofia,"[48.206947, 16.34167]","[42.71194, 23.320832]",68.5,44.9,"RJX   61, 79, 1091, RE  7623",28.65,106.8,47.4,Car,9.333333333333334,149.2,62.7,"Car, Aircraft, Car",3.45,Austria,Bulgaria,Western Europe,Eastern Europe,25.2,0.0,1.0,108.16666666666667,51.666666666666664,149.2,62.7,817.6307428644425
Vienna to Brno,Vienna,Brno,"[48.206947, 16.34167]","[49.189171, 16.609719]",5.2,3.3,"RE  2304, IC  1044",1.7333333333333334,15.8,7.0,Car,1.55,,,,,Austria,Czech Republic,Western Europe,Eastern Europe,,,,10.5,5.15,,,110.97569856666799
Vienna to Zagreb,Vienna,Zagreb,"[48.206947, 16.34167]","[45.804445, 15.978892]",10.0,8.3,"855, 4101, RE  4431, RE  2803, EN 40237",11.116666666666667,37.6,16.7,Car,3.716666666666667,105.5,44.4,"Car, Aircraft, Car",2.8333333333333335,Austria,Croatia,Western Europe,Eastern Europe,8.283333333333333,0.0,1.0,51.03333333333333,23.133333333333336,105.5,44.4,268.55765134942095
Vienna to Praha,Vienna,Praha,"[48.206947, 16.34167]","[50.084712, 14.434923]",20.4,11.1,"RE  2304, IC  1044",4.233333333333333,35.3,15.7,Car,3.4833333333333334,109.4,46.0,"Car, Aircraft, Car",2.8833333333333333,Austria,Czech Republic,Western Europe,Eastern Europe,1.35,0.0,1.0,55.03333333333333,24.266666666666666,109.4,46.0,250.64304846966579
Vienna to Copenhagen,Vienna,Copenhagen,"[48.206947, 16.34167]","[55.673054, 12.565553]",53.6,28.2,"ICE  228, ICE  880, EC   390",14.233333333333333,113.8,50.5,Car,9.933333333333334,149.6,62.9,"Car, Aircraft, Car",3.6333333333333333,Austria,Denmark,Western Europe,Northern Europe,10.6,0.0,1.0,105.66666666666667,47.199999999999996,149.6,62.9,869.282124042732
Vienna to Toulouse,Vienna,Toulouse,"[48.206947, 16.34167]","[43.611113, 1.45361]",17.1,40.8,"RJX  368, TGV 9222, TGV 2239, TGV 6825",16.8,157.2,69.8,Car,12.4,274.1,115.7,"Car, Aircraft, Car",8.466666666666667,Austria,France,Western Europe,Western Europe,8.333333333333334,0.0,1.0,149.46666666666667,75.43333333333334,274.1,115.7,1257.4334477955501
Vienna to Munich,Vienna,Munich,"[48.206947, 16.34167]","[48.136948, 11.575275]",8.5,6.5,"RJX  368, ICE 1290",3.933333333333333,49.8,22.1,Car,4.916666666666667,136.9,57.7,"Car, Aircraft, Car",3.3833333333333333,Austria,Germany,Western Europe,Western Europe,0.5499999999999998,0.0,1.0,65.06666666666666,28.76666666666667,136.9,57.7,353.48390244463025
Vienna to Helsinki,Vienna,Helsinki,"[48.206947, 16.34167]","[60.172218, 24.941111]",240.8,134.3,"ICE   26, ICE  584, EN   346, Transfer, ShiVikLi, 77948, IC   948",46.05,180.3,80.1,Car,14.216666666666667,141.4,59.5,"Car, Aircraft, Car",4.6,Austria,Finland,Western Europe,Northern Europe,41.449999999999996,0.0,1.0,187.5,91.3,141.4,59.5,1440.5189415136856
Vienna to Osijek,Vienna,Osijek,"[48.206947, 16.34167]","[45.552774, 18.683333]",21.0,18.8,"RJX  267, IC   812, RE  8124, RE  6211",8.266666666666667,48.4,21.5,Car,4.783333333333333,132.7,56.5,"Car, Aircraft, Car",5.45,Austria,Croatia,Western Europe,Eastern Europe,2.8166666666666673,0.0,1.0,67.36666666666666,32.266666666666666,132.7,56.5,344.6026031270028
Vienna to Paris,Vienna,Paris,"[48.206947, 16.34167]","[48.858395, 2.294254]",24.9,27.8,"RJX  262, ICE  596, ICE 9572",9.683333333333334,128.9,57.2,Car,10.166666666666666,176.2,74.1,"Car, Aircraft, Car",4.25,Austria,France,Western Europe,Western Europe,5.433333333333334,0.0,1.0,110.0,53.03333333333333,176.2,74.1,1035.3983744623945
Vienna to Nantes,Vienna,Nantes,"[48.206947, 16.34167]","[47.217504, -1.541947]",27.3,38.3,"RJX  262, ICE  596, ICE 9572, Transfer, TGV 8135",13.4,167.5,74.4,Car,13.2,242.9,102.6,"Car, Aircraft, Car",9.966666666666667,Austria,France,Western Europe,Western Europe,3.4333333333333336,0.0,1.0,145.9,71.76666666666667,242.9,102.6,1339.4824007596294
Vienna to Lyon,Vienna,Lyon,"[48.206947, 16.34167]","[45.702291, 4.863775]",20.1,22.1,"RJX  260, Walk, EC   194, IC   722, TER96574",12.783333333333333,119.4,53.0,Car,10.416666666666666,156.5,65.8,"Car, Aircraft, Car",3.9,Austria,France,Western Europe,Western Europe,8.883333333333333,0.0,1.0,98.66666666666667,46.96666666666666,156.5,65.8,913.562069331629
Vienna to Berlin,Vienna,Berlin,"[48.206947, 16.34167]","[52.520555, 13.386943]",25.9,14.6,"ICE   94, ICE  800",7.916666666666667,68.2,30.3,Car,5.95,116.0,48.8,"Car, Aircraft, Car",3.2333333333333334,Austria,Germany,Western Europe,Western Europe,4.683333333333334,0.0,1.0,70.03333333333333,31.23333333333333,116.0,48.8,523.3301882775382
